Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
56,143778,110834,498,591,19,24.787346249401804,360,0.5221824990217793,Bachelors,Self-employed,Married,No,No,Education,Yes,0
69,77292,237386,725,554,11,19.813666302955525,24,0.20453297866545156,High School,Part-time,Divorced,No,No,Other,Yes,0
46,38833,470959,791,457,15,13.150123439606206,12,0.2916531420158916,Bachelors,Self-employed,Divorced,Yes,No,Auto,No,0
32,35309,454449,441,88,12,14.28282988093219,360,0.6749444237319822,High School,Full-time,Single,Yes,Yes,Home,No,0
60,21970,288681,612,94,3,8.442769008396777,360,0.15595421517612787,PhD,Self-employed,Single,Yes,No,Education,No,0
25,87474,495509,464,451,17,22.81131564821227,60,0.6614942777386896,High School,Part-time,Single,Yes,Yes,Auto,No,0
78,61540,340720,613,427,3,15.873367526852764,60,0.45012433832219395,High School,Self-employed,Single,Yes,No,Auto,Yes,0
38,33017,108522,320,150,19,10.304781739745465,24,0.6097500089552658,High School,Full-time,Married,No,No,Business,No,1
56,90880,23612,381,513,4,18.285453357067556,120,0.5708858930107773,Masters,Full-time,Single,Yes,No,Business,Yes,0
75,120570,226049,430,375,3,29.876299109488368,60,0.16600919630790323,High School,Part-time,Single,Yes,No,Other,Yes,0
36,23702,269615,604,21,16,13.622606110040062,60,0.4550501891470983,Bachelors,Part-time,Divorced,Yes,Yes,Other,No,1
40,146456,167703,670,312,12,27.700050622579965,120,0.694178522244074,High School,Part-time,Divorced,Yes,Yes,Auto,No,0
28,15404,241069,683,518,8,11.005488357812418,12,0.3456929894415435,Bachelors,Unemployed,Divorced,Yes,No,Auto,Yes,0
28,27763,224131,744,205,17,2.5872485008245905,60,0.7732726161786534,High School,Unemployed,Married,Yes,Yes,Other,Yes,0
41,113142,32348,724,374,7,6.9230210846844376,36,0.36177208008137446,Masters,Full-time,Married,Yes,Yes,Other,Yes,0
70,95642,196804,460,450,11,13.142159156502842,240,0.11422850933430775,PhD,Unemployed,Divorced,Yes,No,Auto,Yes,0
53,65612,264321,477,594,18,7.369412929242501,240,0.3115477440621386,High School,Unemployed,Divorced,No,Yes,Education,No,0
57,38574,136832,789,178,1,1.0065841083294105,60,0.7613619251124297,High School,Self-employed,Single,No,Yes,Auto,Yes,0
41,38524,295923,626,209,3,27.53504459467829,12,0.2557766794718834,Masters,Unemployed,Single,No,Yes,Education,No,0
20,25916,284780,588,499,4,25.47250292569694,360,0.6944785278936503,High School,Self-employed,Married,Yes,Yes,Education,Yes,0
39,19809,82889,653,463,13,22.526474713121466,12,0.7050005453455119,Bachelors,Part-time,Married,Yes,No,Auto,Yes,0
70,136288,54551,327,123,6,5.86662327373483,24,0.28014921946556887,High School,Self-employed,Single,Yes,No,Home,Yes,0
19,53765,405772,342,112,14,4.490543710089596,36,0.0666061264405057,High School,Self-employed,Divorced,No,Yes,Other,No,0
41,60106,421814,722,11,5,2.9605377346991113,12,0.5796463273270546,PhD,Part-time,Single,Yes,No,Business,Yes,1
61,68932,143635,476,125,16,21.996846474414717,120,0.24920983921118883,PhD,Part-time,Married,Yes,No,Auto,No,1
47,72091,47819,828,564,15,27.935430859948674,36,0.6263388914060579,High School,Full-time,Married,Yes,No,Education,No,0
55,36949,336914,793,330,15,13.485538806478072,240,0.3541238786083465,Masters,Full-time,Single,No,Yes,Auto,No,0
19,52744,485271,497,282,4,4.4550794878853965,36,0.38821339387409726,PhD,Full-time,Single,No,Yes,Other,Yes,0
77,123319,421182,816,139,8,15.85939180123109,120,0.6223275253988295,High School,Full-time,Single,Yes,No,Education,No,0
38,107193,213781,813,400,16,11.116125316300273,60,0.30589066484930233,PhD,Self-employed,Married,No,No,Business,No,0
50,51187,454105,321,96,16,11.869922806149933,120,0.3545018762583316,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,0
29,139454,159059,411,516,4,19.01858810051551,120,0.3009523750156977,PhD,Full-time,Single,Yes,No,Business,Yes,0
75,29489,341858,356,568,13,21.84282528460387,60,0.293872412221824,PhD,Unemployed,Married,No,Yes,Home,No,0
39,76877,499090,365,68,13,4.207504367321665,60,0.42075726152116755,Bachelors,Full-time,Married,No,No,Education,No,0
78,64922,190420,397,117,2,2.032116693387815,60,0.6470395556009206,High School,Unemployed,Married,No,Yes,Education,Yes,0
61,109074,25596,443,58,3,29.835578777885733,60,0.2894146495380527,High School,Part-time,Single,No,Yes,Home,No,0
42,52131,427390,734,32,8,7.7491221185510035,60,0.4194037764301894,High School,Self-employed,Single,Yes,Yes,Education,No,0
66,130765,327250,385,317,15,2.561085222345313,120,0.5365818603540807,High School,Self-employed,Divorced,Yes,Yes,Home,No,1
44,88963,464183,643,49,11,6.506384543781679,24,0.21555155704292403,PhD,Unemployed,Married,No,No,Auto,Yes,0
76,121884,60182,593,488,9,2.1297775441054623,24,0.22201824392191405,Bachelors,Full-time,Single,No,Yes,Other,No,0
59,140917,487516,542,18,7,12.362515943897979,12,0.7467305016187639,Bachelors,Self-employed,Married,Yes,No,Business,Yes,0
45,39285,350307,331,196,13,24.269651749088403,24,0.578827658664871,Masters,Unemployed,Married,Yes,Yes,Home,Yes,0
77,52626,302454,690,449,2,10.896089042973898,240,0.4617493409786471,High School,Part-time,Divorced,Yes,Yes,Home,Yes,0
33,34198,319232,576,558,8,13.88131879947263,24,0.5181760435364896,Masters,Part-time,Single,Yes,No,Home,No,0
32,30254,129803,831,451,7,20.592016433455726,120,0.023439554482734694,PhD,Self-employed,Single,No,No,Auto,Yes,0
79,59238,140978,453,288,12,15.757928032026525,60,0.4944823724493575,Masters,Full-time,Married,No,No,Home,No,0
79,16252,300058,682,140,19,25.981924894618402,60,0.40760709857936156,High School,Unemployed,Married,No,Yes,Other,Yes,0
64,54764,373494,367,83,7,26.115034576326938,360,0.43659974382354855,Bachelors,Self-employed,Divorced,Yes,Yes,Other,No,0
79,92709,46379,513,390,10,1.2874101692434556,360,0.2875390614646537,Bachelors,Part-time,Divorced,Yes,No,Business,No,0
68,68682,472828,675,590,16,23.563342888012777,360,0.06517911817035352,High School,Full-time,Divorced,No,Yes,Auto,No,1
61,74494,246900,512,214,3,14.361274407008542,120,0.15467138688964177,PhD,Unemployed,Divorced,No,No,Other,Yes,0
72,96317,259517,378,525,10,29.67637569780623,240,0.7605957705701374,High School,Self-employed,Divorced,No,Yes,Education,No,0
69,80215,431866,680,214,6,15.01373020038762,24,0.3269596498167472,PhD,Unemployed,Divorced,Yes,Yes,Education,No,0
74,93587,441097,357,402,18,29.619982416260626,120,0.37334652466469137,Bachelors,Full-time,Married,No,Yes,Education,Yes,0
20,21949,309557,325,127,18,22.88251147496636,12,0.042167831882751194,PhD,Full-time,Divorced,Yes,No,Home,Yes,0
54,70393,138084,746,476,5,8.209541653785884,60,0.030052983635184473,High School,Part-time,Married,No,Yes,Home,No,0
68,40934,182187,365,403,7,16.613454399321775,360,0.5737451576374062,High School,Full-time,Married,No,No,Education,Yes,1
24,90745,270295,553,28,2,29.771933544878898,36,0.43047573129688904,High School,Self-employed,Single,No,No,Business,Yes,1
38,109456,58716,343,337,11,25.868387624805788,12,0.40696478737301334,PhD,Unemployed,Married,Yes,Yes,Business,Yes,0
26,68413,356891,396,360,13,3.823639919945412,360,0.19449962433813495,PhD,Full-time,Married,Yes,No,Home,No,0
56,112239,224725,526,568,5,21.484787907489885,240,0.5958005853039378,PhD,Full-time,Divorced,Yes,No,Education,Yes,0
35,57318,168450,735,391,6,11.021807990253578,12,0.13458926328679352,Bachelors,Self-employed,Married,Yes,Yes,Business,No,0
21,85390,174724,678,217,14,1.2024855945300954,120,0.15194779492881605,Masters,Unemployed,Divorced,Yes,No,Home,Yes,0
42,58088,204502,477,573,12,12.700948101782988,24,0.3685697370786204,Masters,Unemployed,Divorced,Yes,No,Education,Yes,0
77,118196,145539,726,201,4,7.807878230024167,60,0.22902388968955273,High School,Part-time,Divorced,No,Yes,Auto,No,0
31,70479,425226,606,16,6,24.747208845093674,240,0.1979703849865171,Bachelors,Part-time,Single,Yes,Yes,Education,Yes,0
67,34963,122999,803,321,10,10.782587656527198,240,0.5161901156426654,PhD,Unemployed,Divorced,No,Yes,Education,Yes,0
75,70123,115793,567,517,18,24.998187124660696,36,0.5207773961748356,High School,Self-employed,Married,Yes,No,Other,Yes,0
26,140911,448907,307,569,15,1.0173402262090638,12,0.6596136558399435,Bachelors,Self-employed,Divorced,No,No,Other,Yes,1
43,117468,458373,807,324,8,9.926755350757455,36,0.3341668535783807,High School,Part-time,Divorced,No,Yes,Auto,No,0
70,88477,371321,775,411,9,7.993791214925096,24,0.058468072820920196,Bachelors,Full-time,Divorced,Yes,No,Auto,No,0
19,29388,13289,596,317,5,7.773453470989718,360,0.21893310793716614,Bachelors,Self-employed,Single,No,Yes,Education,No,0
37,20569,177048,463,81,10,2.9774119731984183,24,0.7840043705574535,Masters,Full-time,Married,Yes,Yes,Business,No,0
45,84836,175668,784,473,6,6.42660384190455,360,0.4770068601861617,High School,Self-employed,Single,Yes,Yes,Auto,No,0
64,119573,417387,371,467,16,17.110937526682978,36,0.5677896678408162,PhD,Unemployed,Married,Yes,No,Education,No,1
77,60002,232513,537,424,3,9.44947111229459,60,0.005886263700331629,Masters,Part-time,Single,Yes,No,Home,No,0
24,39071,258368,403,203,10,13.10444868754529,24,0.41456458574601673,Masters,Full-time,Married,No,Yes,Other,Yes,0
61,73243,87365,509,582,11,11.929139530068467,36,0.0300229260254425,PhD,Full-time,Single,Yes,Yes,Business,No,0
78,140827,231662,767,386,11,26.40124282499694,12,0.4553841696731584,Bachelors,Unemployed,Divorced,No,No,Education,No,0
25,123215,377158,753,97,17,27.25367097130495,36,0.7366166797088604,PhD,Self-employed,Single,No,Yes,Home,No,0
64,116570,176211,567,344,4,15.295752178019942,36,0.7747353044003263,High School,Full-time,Single,No,No,Other,Yes,0
52,84724,180785,685,207,4,10.574522559152527,120,0.43244214031113937,PhD,Self-employed,Divorced,Yes,Yes,Home,No,1
31,130359,423950,686,513,17,4.097220416068545,24,0.3665638442017728,Bachelors,Unemployed,Divorced,No,Yes,Education,No,0
34,90697,73588,558,585,9,28.648683502080754,60,0.7560136753987953,PhD,Part-time,Married,Yes,No,Auto,No,0
53,43732,64646,582,165,19,2.7465814021086263,60,0.5388878655973561,Bachelors,Full-time,Married,No,No,Other,Yes,0
67,136465,266798,339,21,5,9.631858049480133,120,0.051919423630727574,Bachelors,Self-employed,Married,Yes,No,Home,No,0
57,72108,483238,785,153,6,9.64391983393012,360,0.3725804621339981,High School,Full-time,Single,Yes,No,Auto,Yes,0
21,126195,281887,519,438,3,10.291637298066233,240,0.19219601477144313,PhD,Self-employed,Married,Yes,No,Business,Yes,0
19,118081,311512,428,294,1,5.764318454899869,360,0.3758434571589453,PhD,Self-employed,Single,Yes,Yes,Education,Yes,0
79,51668,222097,819,218,16,23.711681496787218,60,0.3643724576050894,High School,Self-employed,Single,No,Yes,Education,Yes,0
23,38061,206244,559,494,11,4.552437997013687,36,0.46571584225179363,Bachelors,Unemployed,Married,No,No,Other,No,0
71,94252,400657,665,229,13,19.41229311544172,120,0.285416392279401,PhD,Part-time,Married,Yes,No,Home,Yes,0
59,54749,120735,843,19,10,4.591534774468706,12,0.13141635956474246,High School,Full-time,Single,No,Yes,Business,Yes,0
21,145560,156683,823,552,3,3.0455334901957403,24,0.40297554767196503,Bachelors,Part-time,Divorced,Yes,Yes,Other,No,1
71,119680,383035,315,147,9,27.373455606890417,24,0.6641623074766096,High School,Self-employed,Divorced,Yes,No,Other,Yes,0
46,66745,108971,428,107,12,6.513734223242465,24,0.5312097824540819,PhD,Self-employed,Single,No,No,Home,Yes,1
35,123464,13149,408,402,14,24.816254482231425,36,0.2706942927401727,High School,Part-time,Married,Yes,Yes,Business,Yes,0
43,106865,363246,832,595,1,16.79429526210694,12,0.7484184182070859,Masters,Part-time,Single,Yes,No,Home,Yes,0
61,127428,322333,568,482,18,3.2578390686543184,120,0.7297660569993458,Bachelors,Full-time,Single,Yes,Yes,Education,Yes,0
51,38624,239976,461,366,17,28.707997551703958,120,0.16747871950727902,Masters,Self-employed,Married,Yes,Yes,Auto,Yes,0
27,38321,415891,559,413,9,8.161873842764884,24,0.031534068096290384,Masters,Part-time,Divorced,Yes,No,Education,No,0
79,37574,334175,401,308,9,25.92971501522559,12,0.5930469666806099,Bachelors,Unemployed,Single,No,Yes,Education,No,0
53,133831,43668,805,133,10,5.895490167752361,12,0.6620882090793226,Bachelors,Self-employed,Divorced,No,Yes,Other,No,0
31,110257,407889,546,282,19,25.76434358211373,12,0.7742916527610842,High School,Self-employed,Divorced,No,Yes,Education,No,0
48,79291,470882,836,72,15,1.3836355742535256,60,0.7118691152706487,Bachelors,Full-time,Married,Yes,No,Business,Yes,0
65,142600,89204,430,480,5,15.84163324051494,60,0.4804278145651319,Masters,Unemployed,Single,Yes,Yes,Education,Yes,1
32,65428,212830,652,351,15,23.31383480322515,24,0.4240418713699047,Masters,Full-time,Single,Yes,No,Business,Yes,0
25,146374,197501,495,559,2,28.10907000729072,12,0.022272841010069034,PhD,Unemployed,Divorced,Yes,Yes,Home,No,0
31,146127,417885,681,325,13,27.366861949988124,240,0.19732515747582227,Bachelors,Full-time,Divorced,Yes,Yes,Other,No,0
40,126317,166140,526,442,16,24.769121216881704,12,0.36769180138634117,Masters,Unemployed,Married,Yes,Yes,Business,Yes,1
